recommendationid,appid,game_name,steam_label_text,llm_sentiment,llm_primary_issue,llm_urgency_candidate,release_period,playtime_at_review_hours,votes_up,weighted_vote_score,llm_issue_category,issue_name_kor,llm_issue_sentiment,llm_issue_evidence,source_run
162582657,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.9833333333333327,0,0.5,positive_praise,긍정 칭찬,positive,"story is dark and cinematic, gameplay loop is the right mixture of challenging and enjoyable",children_of_the_sun
162582657,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.9833333333333327,0,0.5,content_volume,콘텐츠 분량,neutral,While sadly short,children_of_the_sun
162582877,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,2.7,0,0.5,content_volume,콘텐츠 분량,mixed,게임이 짧아 15달러 가격이 다소 비싸게 느껴질 수 있음,children_of_the_sun
162582877,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,2.7,0,0.5,positive_praise,긍정 칭찬,positive,흥미로운 메커니즘과 만족스러운 게임 플레이 경험,children_of_the_sun
162582965,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.25,0,0.5,positive_praise,긍정 칭찬,positive,퍼즐 슈터 장르로서의 재미와 전략적 플레이의 즐거움,children_of_the_sun
162584121,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.533333333333333,0,0.5,positive_praise,긍정 칭찬,positive,탄환 조작 메커니즘이 매우 재미있음,children_of_the_sun
162584151,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,3.95,1,0.5205479264259338,content_volume,콘텐츠 분량,neutral,4 hour experience for $15,children_of_the_sun
162584151,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,3.95,1,0.5205479264259338,difficulty,난이도,neutral,last level takes many retries,children_of_the_sun
162584151,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,3.95,1,0.5205479264259338,positive_praise,긍정 칭찬,positive,"pretty good experience, recommend",children_of_the_sun
162584348,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.1,2,0.5431642532348633,positive_praise,긍정 칭찬,positive,really weird but cool puzzle game,children_of_the_sun
162584871,1309950,Children of the Sun,positive,positive,price_value,medium,D0-D30,3.2666666666666666,4,0.5666103959083557,price_value,가격/가치,negative,a bit pricey for the duration in CAD,children_of_the_sun
162584871,1309950,Children of the Sun,positive,positive,price_value,medium,D0-D30,3.2666666666666666,4,0.5666103959083557,bug,버그,negative,janky hitboxes in one level,children_of_the_sun
162584871,1309950,Children of the Sun,positive,positive,price_value,medium,D0-D30,3.2666666666666666,4,0.5666103959083557,positive_praise,긍정 칭찬,positive,"great art, amazing atmosphere, super clever puzzles",children_of_the_sun
162585142,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.166666666666667,9,0.6227381229400635,positive_praise,긍정 칭찬,positive,"mechanics are very simple but so well put together, story is effective without dialogue",children_of_the_sun
162585142,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.166666666666667,9,0.6227381229400635,gameplay_loop,게임플레이 루프,positive,concise and fairly short but allows replayability for leaderboard scores,children_of_the_sun
162591244,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.9,0,0.5,positive_praise,긍정 칭찬,positive,makes you feel like the cartoon bullet fellas from Who Framed Rodger Rabbit,children_of_the_sun
162591942,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.5,1,0.523809552192688,positive_praise,긍정 칭찬,positive,"Very fun stylized bullet-puzzle game, addicting to perfect a level",children_of_the_sun
162591942,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.5,1,0.523809552192688,ui_ux,UI/UX,mixed,"plays well on Deck (if you use gyro or trackpad, sluggish with stick)",children_of_the_sun
162601659,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,5.633333333333334,1,0.525547444820404,positive_praise,긍정 칭찬,positive,SuperHOT과 유사한 퍼즐 요소와 효율적인 공략 방식이 매력적임,children_of_the_sun
162603483,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.6333333333333333,1,0.5124481320381165,positive_praise,긍정 칭찬,positive,게임의 가치가 충분하며 더 많은 관심을 받을 자격이 있음,children_of_the_sun
162607296,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.5166666666666666,2,0.523809552192688,positive_praise,긍정 칭찬,positive,"퍼즐-슈터 장르의 독특한 메커니즘, 레벨 디자인, 아트 스타일, 음악이 모두 훌륭함",children_of_the_sun
162610192,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.466666666666667,0,0.5,positive_praise,긍정 칭찬,positive,Short but brilliant fun. Well worth the price. Extremely stylish and the mechanics evolve in a nice way.,children_of_the_sun
162612613,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.433333333333333,1,0.523809552192688,positive_praise,긍정 칭찬,positive,One shot multi kill is what we do here.,children_of_the_sun
162615106,1309950,Children of the Sun,positive,mixed,content_volume,low,D0-D30,2.1666666666666665,36,0.7477360963821411,content_volume,콘텐츠 분량,neutral,"It's good but really short, I beat the game in just over 2 hours.",children_of_the_sun
162619724,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.2166666666666666,3,0.5465755462646484,positive_praise,긍정 칭찬,positive,magic bullet game in town!,children_of_the_sun
162621088,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.2333333333333334,1,0.5323740839958191,positive_praise,긍정 칭찬,positive,"completely and totally immersed, horrifying delight",children_of_the_sun
162622547,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.966666666666667,0,0.5,positive_praise,긍정 칭찬,positive,"dynamic game, nice details, great polish",children_of_the_sun
162623492,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.466666666666667,1,0.5260663628578186,positive_praise,긍정 칭찬,positive,영화 '원티드'처럼 총알을 휘게 만드는 게임 플레이에 대한 긍정적 비유,children_of_the_sun
162624611,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.216666666666667,1,0.5260663628578186,positive_praise,긍정 칭찬,positive,스타일리시한 게임 비주얼에 대한 칭찬,children_of_the_sun
162624611,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.216666666666667,1,0.5260663628578186,content_volume,콘텐츠 분량,neutral,도전과제나 리더보드를 제외하면 플레이 타임이 약 3시간으로 짧음,children_of_the_sun
162625737,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.183333333333333,12,0.6606298089027405,positive_praise,긍정 칭찬,positive,"게임의 비주얼, 게임플레이, 가격 대비 만족도가 매우 높음",children_of_the_sun
162625737,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.183333333333333,12,0.6606298089027405,difficulty,난이도,neutral,마지막 레벨의 난이도가 다소 높음,children_of_the_sun
162625737,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.183333333333333,12,0.6606298089027405,content_volume,콘텐츠 분량,positive,3시간 정도의 플레이 타임이지만 리플레이 가치가 충분함,children_of_the_sun
162627955,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.6333333333333333,1,0.5258620381355286,positive_praise,긍정 칭찬,positive,"Tightly designed, incredibly evocative, and just plain fun to play.",children_of_the_sun
162627955,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.6333333333333333,1,0.5258620381355286,gameplay_loop,게임플레이 루프,positive,"restarting takes no time at all, so you're encouraged to explore and experiment.",children_of_the_sun
162627955,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.6333333333333333,1,0.5258620381355286,price_value,가격/가치,positive,Definitely worth the full asking price.,children_of_the_sun
162629478,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.55,0,0.5,positive_praise,긍정 칭찬,positive,"Pure, distilled badassery in video game form.",children_of_the_sun
162630881,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.6666666666666667,1,0.523809552192688,positive_praise,긍정 칭찬,positive,Another excellent addition to the devolver digital psychopath collection,children_of_the_sun
162632207,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.35,0,0.5,positive_praise,긍정 칭찬,positive,"Great style and visuals, satisfying puzzles, slick presentation.",children_of_the_sun
162632207,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.35,0,0.5,ui_ux,UI/UX,negative,having to walk back into the position you want to shoot from if you lose.,children_of_the_sun
162632207,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.35,0,0.5,gameplay_loop,게임플레이 루프,neutral,trying to find everyone in the level (that's part of the puzzle).,children_of_the_sun
162632756,1309950,Children of the Sun,positive,positive,difficulty,medium,D0-D30,4.516666666666667,0,0.5,positive_praise,긍정 칭찬,positive,"novel idea, music and art fit well, mechanics feel very smooth.",children_of_the_sun
162632756,1309950,Children of the Sun,positive,positive,difficulty,medium,D0-D30,4.516666666666667,0,0.5,difficulty,난이도,negative,"early levels are easy, challenge only at the end. difficulty spike should be earlier.",children_of_the_sun
162632756,1309950,Children of the Sun,positive,positive,difficulty,medium,D0-D30,4.516666666666667,0,0.5,content_volume,콘텐츠 분량,neutral,game is kind of short.,children_of_the_sun
162633634,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.1166666666666667,1,0.523809552192688,positive_praise,긍정 칭찬,positive,"excellent for the price, deserves all of the praise.",children_of_the_sun
162633634,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.1166666666666667,1,0.523809552192688,content_volume,콘텐츠 분량,neutral,"game is short, beat it under two hours.",children_of_the_sun
162634457,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,0.9666666666666668,1,0.523809552192688,positive_praise,긍정 칭찬,positive,"core gameplay loop is fun, great pacing, interesting aesthetic, respectful of player time",children_of_the_sun
162634484,1309950,Children of the Sun,positive,positive,gameplay_loop,low,D0-D30,4.85,1,0.5,gameplay_loop,게임플레이 루프,mixed,"frustration finding guys, but well worth it in the end",children_of_the_sun
162637697,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,7.983333333333333,7,0.6090537309646606,positive_praise,긍정 칭찬,positive,"stellar experience, more style than most games, gem that never gets old",children_of_the_sun
162637858,1309950,Children of the Sun,positive,positive,gameplay_loop,low,D0-D30,4.066666666666666,1,0.5,positive_praise,긍정 칭찬,positive,quite good!,children_of_the_sun
162637858,1309950,Children of the Sun,positive,positive,gameplay_loop,low,D0-D30,4.066666666666666,1,0.5,gameplay_loop,게임플레이 루프,neutral,score medals a la Neon White would've driven me to replay the levels,children_of_the_sun
162638057,1309950,Children of the Sun,positive,positive,graphics_audio,low,D0-D30,6.8,1,0.5,graphics_audio,그래픽/사운드,neutral,cinematic that plays when u fail is way cooler than what plays when u win,children_of_the_sun
162639210,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,6.133333333333334,1,0.5089666843414307,content_volume,콘텐츠 분량,positive,short but sweet experience,children_of_the_sun
162639210,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,6.133333333333334,1,0.5089666843414307,gameplay_loop,게임플레이 루프,positive,Would love to see a procedural/endless version of this someday.,children_of_the_sun
162640615,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.6666666666666665,2,0.5258620381355286,positive_praise,긍정 칭찬,positive,"best shooter/puzzle hybrid since portal, wonderful style, inspired set pieces",children_of_the_sun
162640615,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.6666666666666665,2,0.5258620381355286,difficulty,난이도,neutral,missions towards the end being a really engaging challenge,children_of_the_sun
162643130,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.8833333333333333,0,0.5,positive_praise,긍정 칭찬,positive,"puzzles are truly unique and very satisfying, price is cheap, everything works excellently",children_of_the_sun
162643332,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.95,1,0.523809552192688,positive_praise,긍정 칭찬,positive,"fun challenges as achievements, score attack for extra replayability, perfect concept game",children_of_the_sun
162643766,1309950,Children of the Sun,positive,mixed,difficulty,medium,D0-D30,5.4,0,0.5,difficulty,난이도,negative,final level is a bit more stubborn,children_of_the_sun
162643766,1309950,Children of the Sun,positive,mixed,difficulty,medium,D0-D30,5.4,0,0.5,ui_ux,UI/UX,negative,shielded auras have hit boxes that can be hard to identify,children_of_the_sun
162643766,1309950,Children of the Sun,positive,mixed,difficulty,medium,D0-D30,5.4,0,0.5,positive_praise,긍정 칭찬,positive,"solid game, love the puzzle aspect and uniqueness of the plot line",children_of_the_sun
162645483,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.85,0,0.5,positive_praise,긍정 칭찬,positive,"Quality puzzling, story and art are excellent",children_of_the_sun
162645483,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.85,0,0.5,content_volume,콘텐츠 분량,neutral,Beat in 3 hours,children_of_the_sun
162645483,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.85,0,0.5,other,기타,neutral,What happened to the level with the gas station and all the cars?,children_of_the_sun
162645543,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.883333333333333,28,0.7181814908981323,positive_praise,긍정 칭찬,positive,"insane game, short but very sweet puzzle shooter",children_of_the_sun
162645543,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.883333333333333,28,0.7181814908981323,content_volume,콘텐츠 분량,neutral,most people will probably see the end credits in 4 hours or less,children_of_the_sun
162646647,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.566666666666666,1,0.52173912525177,positive_praise,긍정 칭찬,positive,"Really fun game play, really great art style, simple story works well.",children_of_the_sun
162654793,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.383333333333334,1,0.5061728358268738,positive_praise,긍정 칭찬,positive,"Insanely fun and creative puzzle game, well worth the full price.",children_of_the_sun
162655681,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.4,2,0.5132743716239929,positive_praise,긍정 칭찬,positive,Wonderful meaty little puzzle game with brutal presentation.,children_of_the_sun
162655681,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.4,2,0.5132743716239929,content_volume,콘텐츠 분량,positive,Took me 2.8 hours to finish the story and 4.4 to do all the challenges.,children_of_the_sun
162658865,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,4.4,17,0.6707208752632141,positive_praise,긍정 칭찬,positive,Very fun. Striking visuals and good music.,children_of_the_sun
162658865,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,4.4,17,0.6707208752632141,content_volume,콘텐츠 분량,negative,A little short.,children_of_the_sun
162661460,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,5.166666666666667,2,0.5132743716239929,positive_praise,긍정 칭찬,positive,"one of the sickest games, incredible presentation, beautifully crafted mechanics",children_of_the_sun
162661460,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,5.166666666666667,2,0.5132743716239929,content_volume,콘텐츠 분량,negative,game feels a bit too short,children_of_the_sun
162664294,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.8,1,0.5,positive_praise,긍정 칭찬,positive,"stylistic, storytelling, graphical/artistic style, sound/music design, gameplay, bullet control mechanic",children_of_the_sun
162665251,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.5166666666666666,2,0.5,positive_praise,긍정 칭찬,positive,퍼즐 메커니즘과 탄환 제어 방식이 매우 즐거움,children_of_the_sun
162665251,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.5166666666666666,2,0.5,difficulty,난이도,neutral,후반부 레벨의 난이도가 높고 특정 적(사제) 배치가 까다로움,children_of_the_sun
162668700,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.466666666666667,4,0.5758354663848877,positive_praise,긍정 칭찬,positive,독특한 탄환 제어 메커니즘과 스토리 전달 방식이 좋음,children_of_the_sun
162668700,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.466666666666667,4,0.5758354663848877,content_volume,콘텐츠 분량,neutral,게임이 다소 짧음,children_of_the_sun
162671696,1309950,Children of the Sun,positive,positive,ui_ux,low,D0-D30,3.216666666666667,0,0.5,positive_praise,긍정 칭찬,positive,게임이 매우 재미있음,children_of_the_sun
162671696,1309950,Children of the Sun,positive,positive,ui_ux,low,D0-D30,3.216666666666667,0,0.5,ui_ux,UI/UX,neutral,비밀 도전 과제에 대한 힌트나 가이드가 부족하여 우연히 발견하게 됨,children_of_the_sun
162671931,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.566666666666667,0,0.5,positive_praise,긍정 칭찬,positive,"Extremely fun game, great for leaderboard demons.",children_of_the_sun
162671931,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.566666666666667,0,0.5,other,기타,neutral,Would love to see some sort of gif/video exporter to be able to show off a cool run.,children_of_the_sun
162672988,1309950,Children of the Sun,positive,mixed,difficulty,medium,D0-D30,2.683333333333333,0,0.5,content_volume,콘텐츠 분량,neutral,~ 2.5hr of content.,children_of_the_sun
162672988,1309950,Children of the Sun,positive,mixed,difficulty,medium,D0-D30,2.683333333333333,0,0.5,difficulty,난이도,negative,"The only frustrating part is the final 2 levels, where you can tell they made them purposefully more difficult.",children_of_the_sun
162672988,1309950,Children of the Sun,positive,mixed,difficulty,medium,D0-D30,2.683333333333333,0,0.5,other,기타,negative,The leaderboards are pretty much useless for normal players... My recommendation is to keep the leaderboards as friends-only.,children_of_the_sun
162672988,1309950,Children of the Sun,positive,mixed,difficulty,medium,D0-D30,2.683333333333333,0,0.5,positive_praise,긍정 칭찬,positive,"Solid game, great art style, and tells a solid story.",children_of_the_sun
162673893,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,5.983333333333333,1,0.5,positive_praise,긍정 칭찬,positive,"Peak Art, Baybee! Worth every penny!",children_of_the_sun
162677905,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.9833333333333334,0,0.5,positive_praise,긍정 칭찬,positive,"art style is super trippy, figuring out levels is fun, powers are engaging",children_of_the_sun
162684037,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,4.483333333333333,2,0.4817951023578644,content_volume,콘텐츠 분량,neutral,Too short,children_of_the_sun
162684037,1309950,Children of the Sun,positive,positive,content_volume,low,D0-D30,4.483333333333333,2,0.4817951023578644,positive_praise,긍정 칭찬,positive,"absolute blast to play, another Devolver win",children_of_the_sun
162684104,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.7333333333333334,0,0.5,graphics_audio,그래픽/사운드,neutral,hope my speakers weren't damaged from this,children_of_the_sun
162684104,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.7333333333333334,0,0.5,content_volume,콘텐츠 분량,neutral,Doesn't take too long to complete,children_of_the_sun
162684104,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,1.7333333333333334,0,0.5,positive_praise,긍정 칭찬,positive,"Great game, unique artistic experience",children_of_the_sun
162685933,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.066666666666667,0,0.5,positive_praise,긍정 칭찬,positive,optimizing your murder to get a high score? Perfection.,children_of_the_sun
162686810,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,4.95,0,0.5,positive_praise,긍정 칭찬,positive,"great game-play, fun progression, mega cool level design, great replayability, swag character design",children_of_the_sun
162687097,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.7666666666666666,0,0.5,content_volume,콘텐츠 분량,neutral,the game is short and i was able to get every achievement in just over three and a half hours,children_of_the_sun
162687097,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.7666666666666666,0,0.5,positive_praise,긍정 칭찬,positive,A fun and interesting puzzle game with cool mechanics.,children_of_the_sun
162687125,1309950,Children of the Sun,positive,mixed,price_value,low,D0-D30,3.633333333333333,1,0.5275590419769287,positive_praise,긍정 칭찬,positive,"Art design, mechanics, story and sound create a cohesive experience.",children_of_the_sun
162687125,1309950,Children of the Sun,positive,mixed,price_value,low,D0-D30,3.633333333333333,1,0.5275590419769287,content_volume,콘텐츠 분량,neutral,It's more of a short story rather than an expansive novel.,children_of_the_sun
162687125,1309950,Children of the Sun,positive,mixed,price_value,low,D0-D30,3.633333333333333,1,0.5275590419769287,price_value,가격/가치,negative,I think it is a bit expensive at launch with what it offers.,children_of_the_sun
162690234,1309950,Children of the Sun,positive,positive,difficulty,low,D0-D30,5.9,0,0.5,positive_praise,긍정 칭찬,positive,Wonderfully stylish with a great gameplay loop.,children_of_the_sun
162690234,1309950,Children of the Sun,positive,positive,difficulty,low,D0-D30,5.9,0,0.5,difficulty,난이도,negative,going through the game normally feels a little too easy especially the final stage.,children_of_the_sun
162691524,1309950,Children of the Sun,positive,mixed,crash,high,D0-D30,2.566666666666667,0,0.5,positive_praise,긍정 칭찬,positive,"I love this game. The style, The music, the intense premise.",children_of_the_sun
162691524,1309950,Children of the Sun,positive,mixed,crash,high,D0-D30,2.566666666666667,0,0.5,crash,크래시,negative,"some weird bugs with the game, specifically one that simply closes out of the game upon playing a new level.",children_of_the_sun
162691798,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,3.55,0,0.5,positive_praise,긍정 칭찬,positive,"Amazing concept, worth the price, short but sweet, decent story",children_of_the_sun
162692433,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.583333333333333,1,0.523809552192688,positive_praise,긍정 칭찬,positive,"fun when experimenting, love the style",children_of_the_sun
162692433,1309950,Children of the Sun,positive,positive,positive_praise,low,D0-D30,2.583333333333333,1,0.523809552192688,story,스토리,neutral,cutscenes before each level feel a bit unnecessary,children_of_the_sun
