appid,game_name,recommendationid,review_datetime,release_date,days_from_release,release_period,review_recency_group,steam_label_text,llm_sentiment,steam_llm_sentiment_relation,playtime_at_review_hours,playtime_stage,early_playtime_flag,votes_up,weighted_vote_score,llm_urgency_candidate,high_urgency_flag,llm_issue_category,issue_name_kor,llm_issue_sentiment,issue_positive_flag,issue_negative_or_mixed_flag,action_group_hint,priority_candidate,rule_priority_hint,priority_selection_note,priority_rule_detail,priority_reason,affected_review_count,negative_mixed_review_count,steam_negative_review_count,high_urgency_review_count,high_urgency_rate,negative_mixed_rate,steam_negative_rate,recent_30d_negative_mixed_review_count,early_playtime_negative_mixed_review_count,patch_ops_note,llm_issue_evidence,source_run
1309950,Children of the Sun,162564863,2024-04-09 20:22:46,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,4.05,1-5h,True,0,0.5,low,False,gameplay_loop,게임플레이 루프,positive,True,False,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 179개, 부정·혼합 99개, Steam 비추천 맥락 50개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 87개, High urgency 후보 11개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",179,99,50,11,0.0615,0.5531,0.2793,2,87,"반복 피로, 목표 구조, 보상 흐름을 점검하고 플레이 루프의 지루함을 줄인다.",스스로 알아가는 과정이 즐거운 퍼즐 게임 구조,children_of_the_sun
1309950,Children of the Sun,162568184,2024-04-09 21:33:29,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,5.533333333333333,5-20h,False,1,0.5151515007019043,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",스토리와 게임 메커니즘이 준수함,children_of_the_sun
1309950,Children of the Sun,162568184,2024-04-09 21:33:29,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,5.533333333333333,5-20h,False,1,0.5151515007019043,low,False,gameplay_loop,게임플레이 루프,positive,True,False,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 179개, 부정·혼합 99개, Steam 비추천 맥락 50개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 87개, High urgency 후보 11개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",179,99,50,11,0.0615,0.5531,0.2793,2,87,"반복 피로, 목표 구조, 보상 흐름을 점검하고 플레이 루프의 지루함을 줄인다.",Sniper Elite와 유사한 게임 플레이 방식,children_of_the_sun
1309950,Children of the Sun,162569651,2024-04-09 22:06:13,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.85,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","중독성 있는 게임 플레이와 적절한 난이도, 만족스러운 분량",children_of_the_sun
1309950,Children of the Sun,162569651,2024-04-09 22:06:13,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.85,1-5h,True,0,0.5,low,False,content_volume,콘텐츠 분량,positive,True,False,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",208,56,13,2,0.0096,0.2692,0.0625,0,40,콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,게임이 짧지만 완벽한 분량이라고 느낌,children_of_the_sun
1309950,Children of the Sun,162570423,2024-04-09 22:20:11,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.716666666666667,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",독특한 시각적 연출에 대한 긍정적 언급,children_of_the_sun
1309950,Children of the Sun,162571032,2024-04-09 22:31:41,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,1.1833333333333331,1-5h,True,0,0.4466019570827484,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",스나이퍼 퍼즐 게임으로서의 재미와 음악에 대한 긍정적 평가,children_of_the_sun
1309950,Children of the Sun,162571039,2024-04-09 22:31:46,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.783333333333333,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",리더보드 경쟁 요소에 대한 높은 만족도와 게임의 짧지만 알찬 구성 언급,children_of_the_sun
1309950,Children of the Sun,162574264,2024-04-09 23:52:31,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.566666666666667,1-5h,True,3,0.5663328766822815,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",게임플레이가 매우 재미있고 스나이핑 게임의 요소를 잘 발전시킴,children_of_the_sun
1309950,Children of the Sun,162574264,2024-04-09 23:52:31,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.566666666666667,1-5h,True,3,0.5663328766822815,low,False,content_volume,콘텐츠 분량,positive,True,False,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",208,56,13,2,0.0096,0.2692,0.0625,0,40,콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,"게임이 짧지만 지루해지기 전에 끝나서 좋음, 더 어려운 챌린지 레벨 DLC 희망",children_of_the_sun
1309950,Children of the Sun,162574264,2024-04-09 23:52:31,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,2.566666666666667,1-5h,True,3,0.5663328766822815,low,False,story,스토리,positive,True,False,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 65개, 부정·혼합 23개, Steam 비추천 맥락 11개, 초반 플레이타임 부정·혼합 15개, 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",65,23,11,0,0.0,0.3538,0.1692,0,15,"서사 전달, 퀘스트 흐름, 엔딩/분기 만족도를 장기 개선 후보로 검토한다.",스토리와 컷신이 다소 과장되고 독특한 매력이 있음,children_of_the_sun
1309950,Children of the Sun,162574427,2024-04-09 23:56:22,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,1.9666666666666663,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",핵심 메커니즘 활용이 훌륭하고 적절한 분량임,children_of_the_sun
1309950,Children of the Sun,162574427,2024-04-09 23:56:22,2024-04-09,0,D0-D30,older_90d,positive,positive,exact_match,1.9666666666666663,1-5h,True,0,0.5,low,False,price_value,가격/가치,positive,True,False,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 58개, 부정·혼합 30개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 27개, 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",58,30,13,0,0.0,0.5172,0.2241,0,27,가격 대비 만족도 불만이 반복되는지 확인하고 할인/번들/콘텐츠 가치 전달을 검토한다.,정가 지불할 가치가 있음,children_of_the_sun
1309950,Children of the Sun,162575803,2024-04-10 00:30:44,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,2.683333333333333,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",게임이 재미있고 아트워크가 훌륭함,children_of_the_sun
1309950,Children of the Sun,162575803,2024-04-10 00:30:44,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,2.683333333333333,1-5h,True,0,0.5,low,False,content_volume,콘텐츠 분량,mixed,False,True,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",208,56,13,2,0.0096,0.2692,0.0625,0,40,콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,게임이 짧은 것이 아쉬움,children_of_the_sun
1309950,Children of the Sun,162576126,2024-04-10 00:39:35,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,3.083333333333333,1-5h,True,1,0.4823731780052185,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","Cool art style, very satisfying gameplay, and incredible sound design",children_of_the_sun
1309950,Children of the Sun,162576126,2024-04-10 00:39:35,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,3.083333333333333,1-5h,True,1,0.4823731780052185,low,False,content_volume,콘텐츠 분량,neutral,False,False,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",208,56,13,2,0.0096,0.2692,0.0625,0,40,콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,Short and sweet! hope there's a DLC soon,children_of_the_sun
1309950,Children of the Sun,162580503,2024-04-10 02:32:05,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,1.5,1-5h,True,1,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","presentation is first-class, and the moment to moment gameplay is entirely engrossing",children_of_the_sun
1309950,Children of the Sun,162582657,2024-04-10 03:34:25,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,1.9833333333333327,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.","story is dark and cinematic, gameplay loop is the right mixture of challenging and enjoyable",children_of_the_sun
1309950,Children of the Sun,162582657,2024-04-10 03:34:25,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,1.9833333333333327,1-5h,True,0,0.5,low,False,content_volume,콘텐츠 분량,neutral,False,False,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",208,56,13,2,0.0096,0.2692,0.0625,0,40,콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,While sadly short,children_of_the_sun
1309950,Children of the Sun,162582877,2024-04-10 03:41:26,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,2.7,1-5h,True,0,0.5,low,False,content_volume,콘텐츠 분량,mixed,False,True,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",208,56,13,2,0.0096,0.2692,0.0625,0,40,콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,게임이 짧아 15달러 가격이 다소 비싸게 느껴질 수 있음,children_of_the_sun
1309950,Children of the Sun,162582877,2024-04-10 03:41:26,2024-04-09,1,D0-D30,older_90d,positive,positive,exact_match,2.7,1-5h,True,0,0.5,low,False,positive_praise,긍정 칭찬,positive,True,False,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리",736,0,11,6,0.0082,0.0,0.0149,0,0,"긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",흥미로운 메커니즘과 만족스러운 게임 플레이 경험,children_of_the_sun
