appid,game_name,genres_text,price_group,top_steam_tags_text,categories_text,play_style,review_count,llm_positive_count,llm_negative_count,llm_mixed_count,high_urgency_count,llm_positive_ratio,llm_negative_ratio,high_urgency_ratio
1227650,Bang-On Balls: Chronicles,"Action, Adventure, Casual, Indie",20-40,"Combat, Co-op, Open World, Local Co-Op, Sandbox, Singleplayer, Adventure, Online Co-Op, Split Screen, Action","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",멀티/협동 요소 포함,61,55,3,2,1,90.2,4.9,1.6
1309510,Glaze Cup: Journey to the West,"Action, Adventure, Casual, Indie, RPG",5-10,"Action Roguelike, 2D Platformer, Beat 'em up, Martial Arts, Platformer, Action RPG, Rogue-like, RPG, 2D, Comic Book","Single-player, Full controller support, Family Sharing",Single-player 중심,2,0,2,0,1,0.0,100.0,50.0
1309680,Fantastic Petty,"Action, Indie",0-5,"Action, Shooter, Side Scroller, 2D, Cute, Colorful, Psychedelic, Pixel Graphics, Indie, Fantasy","Single-player, Steam Achievements, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Partial Controller Support, Steam Leaderboards, Family Sharing",Single-player 중심,3,3,0,0,0,100.0,0.0,0.0
1309950,Children of the Sun,"Action, Indie, Strategy",10-20,"Action, Strategy, Arcade, Shooter, Real Time Tactics, Psychedelic, Stylized, Third-Person Shooter, 3D, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,100,75,14,11,10,75.0,14.0,10.0
1319550,Power of Ten,"Action, Indie",0-5,"Space, Rogue-lite, Top-Down Shooter, Spaceships, Action Roguelike, Perma Death, Sci-fi, Pixel Graphics, Looter Shooter, Procedural Generation","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",Single-player 중심,28,14,9,5,7,50.0,32.1,25.0
1366560,MiLE HiGH TAXi,"Action, Indie, Racing, Simulation",10-20,"Flight, Racing, Driving, Arcade, Action-Adventure, Female Protagonist, 3D, Third Person, Controller, Open World","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",Single-player 중심,37,14,12,11,9,37.8,32.4,24.3
1391200,Pixel With Your Friends,"Casual, Indie",0-5,"Casual, Tabletop, Board Game, Online Co-Op, Relaxing, Family Friendly, Pixel Graphics, Fantasy, Co-op, Singleplayer","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",멀티/협동 요소 포함,7,7,0,0,0,100.0,0.0,0.0
1407150,Syder Reloaded,"Action, Indie",10-20,"Indie, Action, Shoot 'Em Up, Arcade, Bullet Hell, Shooter, Singleplayer, Retro, Space, Side Scroller","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",Single-player 중심,6,5,0,1,1,83.3,0.0,16.7
1432850,Farewell North,"Adventure, Casual, Indie",20-40,"Adventure, Atmospheric, Story Rich, Dog, Exploration, Relaxing, Emotional, Female Protagonist, Third Person, Stylized","Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Stereo Sound, Subtitle Options, Steam Cloud, Family Sharing",Single-player 중심,100,90,2,8,2,90.0,2.0,2.0
1445790,Make Way,"Action, Casual, Indie, Racing",10-20,"Local Multiplayer, Multiplayer, Party, Racing, PvP, Building, Funny, Family Friendly, Arcade, Action","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Playable without Timed Input, Steam Cloud, Remote Play Together, Family Sharing",멀티/협동 요소 포함,34,28,1,5,3,82.4,2.9,8.8
1466870,Hannah,"Adventure, Indie",10-20,"Adventure, Singleplayer, Puzzle, Stealth, Survival, Horror, Psychological, Story Rich, 3D, 1980s","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,1,0,0,1,1,0.0,0.0,100.0
1512590,Punch A Bunch,"Action, Indie, Sports",10-20,"Boxing, Fighting, Physics, Indie, 3D Fighter, Sports, Action, 3D, Colorful, Beat 'em up","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing",멀티/협동 요소 포함,100,41,41,18,31,41.0,41.0,31.0
1536470,A guard walks into a tavern,"Casual, Indie, RPG, Simulation",5-10,"Choices Matter, Medieval, Simulation, Dark Humor, Story Rich, Fantasy, Interactive Fiction, Life Sim, Multiple Endings, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",Single-player 중심,2,0,2,0,2,0.0,100.0,100.0
1536620,Galactic Glitch,"Action, Adventure, Indie, RPG, Simulation",10-20,"Action Roguelike, Twin Stick Shooter, Dungeon Crawler, Difficult, Physics, Sci-fi, Roguevania, Shooter, Simulation, Action","Single-player, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Steam Cloud, Family Sharing",Single-player 중심,100,86,5,9,5,86.0,5.0,5.0
1545990,Deadeye Deepfake Simulacrum,"Action, Indie, RPG, Simulation",5-10,"Early Access, Top-Down Shooter, Hacking, RPG, Story Rich, Bullet Time, Cyberpunk, Action, Simulation, Transhumanism","Single-player, Steam Cloud, Family Sharing",Single-player 중심,26,25,0,1,0,96.2,0.0,0.0
1554650,DROS,"Action, Adventure, Casual, Indie",5-10,"Indie, 3D, Fantasy, Combat, Steampunk, Action, Atmospheric, Adventure, Platformer, Controller","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,24,20,1,3,1,83.3,4.2,4.2
1568970,Torn Away,"Adventure, Indie",10-20,"Story Rich, Atmospheric, Female Protagonist, Adventure, World War II, War, Cartoony, Drama, Cartoon, Emotional","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,41,39,0,1,0,95.1,0.0,0.0
1603180,Mining Mechs,"Adventure, Casual, Indie",0-5,"Co-op, Online Co-Op, Multiplayer, Mining, Singleplayer, Underground, Adventure, Casual, Robots, Exploration","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",멀티/협동 요소 포함,100,85,7,8,2,85.0,7.0,2.0
1619570,Death Roads: Tournament,"Indie, Racing, Strategy",10-20,"Strategy, Turn-Based Combat, Roguelike Deckbuilder, Card Game, Racing, Indie, Rogue-lite, Rogue-like, Deckbuilding, Card Battler","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",Single-player 중심,48,26,9,13,9,54.2,18.8,18.8
1622710,Oceanhorn 2: Knights of the Lost Realm,"Action, Adventure, Indie, RPG",20-40,"Adventure, Action, RPG, Action-Adventure, Colorful, JRPG, Metroidvania, Exploration, Third Person, Atmospheric","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",Single-player 중심,17,9,2,6,1,52.9,11.8,5.9
1637400,Let's Cook Together 2,"Action, Adventure, Casual, Indie",20-40,"Casual, Action, Singleplayer, Cooking, Co-op, Level Editor, 4 Player Local, Family Friendly, Co-op Campaign, Adventure","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing",멀티/협동 요소 포함,9,7,1,1,1,77.8,11.1,11.1
1646380,Comrades and Barons: Gates of Freedom,"Indie, Strategy",5-10,"Turn-Based, World War I, Historical, Wargame, Hex Grid, War, 3D, Turn-Based Strategy, Strategy, Turn-Based Combat","Single-player, Family Sharing",Single-player 중심,3,2,0,1,1,66.7,0.0,33.3
1652670,Street Shuffle,"Indie, Strategy",5-10,"Strategy, Card Battler, Card Game, Party-Based RPG, Turn-Based Strategy, PvE, Turn-Based Combat, Singleplayer, Female Protagonist, Deckbuilding","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,16,14,1,1,1,87.5,6.2,6.2
1656050,Remnants of the Rift,"Action, Indie, Strategy",10-20,"Real-Time with Pause, Cyberpunk, Rogue-lite, Isometric, Grid-Based Movement, LGBTQ+, Comic Book, Stylized, Colorful, Sci-fi","Single-player, Full controller support, Family Sharing",Single-player 중심,1,0,1,0,0,0.0,100.0,0.0
1659150,SUPER 56,"Action, Casual, Indie, Racing, Sports",5-10,"Funny, Hidden Object, Memes, Action, 2D, Casual, Colorful, 3D, Arcade, First-Person","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",멀티/협동 요소 포함,17,15,0,2,0,88.2,0.0,0.0
1715590,Wizordum,"Action, Indie",10-20,"Action, FPS, Boomer Shooter, Shooter, Exploration, 3D, Colorful, Magic, First-Person, Pixel Graphics","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Includes level editor, Family Sharing",Single-player 중심,73,54,9,10,0,74.0,12.3,0.0
1739930,Marlon’s Mystery: The darkside of crime,"Adventure, Casual, Indie",5-10,"Adventure, Visual Novel, Detective, Female Protagonist, Crime, Interactive Fiction, Casual, Point & Click, Exploration, 2D","Single-player, Full controller support, Family Sharing",Single-player 중심,5,5,0,0,0,100.0,0.0,0.0
1755180,Brewpub Simulator,"Indie, Simulation",10-20,"Simulation, 3D, Immersive Sim, First-Person, Cooking, Realistic, America, Crafting, Economy, Management","Single-player, Steam Achievements, Full controller support, Family Sharing",Single-player 중심,100,25,54,21,59,25.0,54.0,59.0
1759350,Space Trash Scavenger,"Action, Adventure, Indie, Simulation",10-20,"Open World Survival Craft, Automation, Survival, Crafting, Space, Open World, Sandbox, Shooter, Building, Procedural Generation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Stats, Family Sharing",Single-player 중심,33,20,10,3,5,60.6,30.3,15.2
1775220,Echoes,"Adventure, Indie",5-10,"Adventure, Interactive Fiction, Visual Novel, Choose Your Own Adventure, Hidden Object, 2D, Comic Book, Hand-drawn, Noir, Conspiracy","Single-player, Steam Achievements, Full controller support, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Stereo Sound, Touch Only Option, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
1776170,Barton Lynch Pro Surfing,"Action, Indie, Simulation, Sports",40+,"Sports, Action, Simulation, Physics, Character Customization, Realistic, Relaxing, Artificial Intelligence, Tutorial, 3D","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,4,1,1,2,1,25.0,25.0,25.0
1818570,Threes!,"Casual, Indie",5-10,"Puzzle, Match 3, Relaxing, Rogue-like, Turn-Based Tactics, 2D, Casual, Cute, Sokoban, Abstract","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,19,18,0,1,0,94.7,0.0,0.0
1859490,Planet TD,"Casual, Indie, Strategy",0-5,"Tower Defense, Real Time Tactics, Auto Battler, Tactical, 3D Platformer, Casual, Strategy, RTS, 2D Platformer, Wargame","Single-player, Steam Achievements, Family Sharing",Single-player 중심,7,1,4,2,5,14.3,57.1,71.4
1885250,Axiom of Maria: Prologue,"Action, Adventure, Indie",5-10,"Cyberpunk, Story Rich, Adventure, Action, 3D Platformer, Female Protagonist, Action-Adventure, Spectacle fighter, Character Action Game, 3D","Single-player, Steam Achievements, Captions available, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",Single-player 중심,7,6,0,1,0,85.7,0.0,0.0
1902870,Vertical Kingdom,"Indie, Strategy",10-20,"City Builder, Card Game, Rogue-lite, Base-Building, Building, Turn-Based Strategy, Pixel Graphics, Strategy, Retro, Resource Management","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,33,21,7,5,7,63.6,21.2,21.2
1908080,The Mage,"Adventure, Casual, Indie",0-5,"2D Platformer, Puzzle-Platformer, Atmospheric, Minimalist, Multiple Endings, Cozy, Puzzle, Platformer, 2D, Conversation","Single-player, Steam Achievements, Full controller support, Family Sharing",Single-player 중심,3,3,0,0,0,100.0,0.0,0.0
1918420,Order from Caos 2,"Adventure, Indie, RPG",0-5,"RPG, Story Rich, Turn-Based Combat, Indie, Pixel Graphics, JRPG, Lore-Rich, Party-Based RPG, Hand-drawn, 2D","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
1930310,Soul King,"Action, Indie",10-20,"FPS, Arcade, Score Attack, Boomer Shooter, 1990's, Retro, Controller, Action, Story Rich, Female Protagonist","Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",Single-player 중심,3,3,0,0,0,100.0,0.0,0.0
1931770,Chants of Sennaar,"Adventure, Indie",10-20,"Puzzle, Adventure, Singleplayer, Indie, Colorful, Point & Click, Word Game, Atmospheric, Stylized, Detective","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Camera Comfort, Custom Volume Controls, Mouse Only Option, Save Anytime, Touch Only Option, Steam Cloud, Family Sharing",Single-player 중심,100,75,12,13,4,75.0,12.0,4.0
1959120,Blacksmith Simulator,"Casual, Indie, Simulation",5-10,"Crafting, Management, Immersive Sim, Medieval, Gun Customization, Life Sim, Education, Simulation, 3D, Sandbox","Single-player, Steam Achievements, Family Sharing",Single-player 중심,18,3,12,2,11,16.7,66.7,61.1
1981820,Strike Force Heroes,"Action, Indie, RPG",10-20,"Action, Shooter, 2D, Arena Shooter, Character Customization, Multiplayer, Nostalgia, Singleplayer, Remake, Story Rich","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Family Sharing",멀티/협동 요소 포함,100,42,41,17,34,42.0,41.0,34.0
2009620,Harvest Hunt,"Action, Adventure, Indie",5-10,"First-Person, Indie, Survival Horror, Horror, Lovecraftian, Rogue-lite, Singleplayer, Action, Stealth, Supernatural","Single-player, Full controller support, Family Sharing",Single-player 중심,22,16,0,6,0,72.7,0.0,0.0
2052990,My Lovely Empress,"Indie, Simulation, Strategy",10-20,"Simulation, Visual Novel, Point & Click, Immersive Sim, 2.5D, Stylized, Hand-drawn, Dark Fantasy, Management, Fantasy","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",Single-player 중심,52,42,2,8,2,80.8,3.8,3.8
2083210,Super Woden GP 2,"Indie, Racing, Sports",10-20,"Racing, Sports, Arcade, 2.5D, Colorful, Top-Down, Isometric, Split Screen, 1980s, 1990's","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play Together, Family Sharing",멀티/협동 요소 포함,100,65,17,18,10,65.0,17.0,10.0
2094320,Escape First Alchemist ⚗️,"Action, Adventure, Casual, Indie, Simulation, Sports",5-10,"Adventure, Puzzle, Online Co-Op, Magic, Fantasy, Mystery, Co-op, Crafting, Casual, Exploration","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Partial Controller Support, Family Sharing",멀티/협동 요소 포함,100,68,17,15,11,68.0,17.0,11.0
2114300,Chronique des Silencieux,"Adventure, Indie",10-20,"Detective, Story Rich, Investigation, Mystery, Point & Click, Puzzle, Singleplayer, Exploration, Interactive Fiction, Choices Matter","Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Custom Volume Controls, Playable without Timed Input, Save Anytime, Family Sharing",Single-player 중심,4,1,3,0,1,25.0,75.0,25.0
2114740,Blasphemous 2,"Action, Adventure, Indie",10-20,"Combat, Fantasy, Metroidvania, Souls-like, Adventure, 2D Platformer, Pixel Graphics, Difficult, Side Scroller, Hack and Slash","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,100,26,59,14,23,26.0,59.0,23.0
2177570,Stone Age: Digital Edition,"Casual, Indie, Strategy",10-20,"Casual, Board Game, Tabletop, Strategy, Family Friendly, Colorful, Management, Turn-Based Tactics, 2.5D, 2D","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Trading Cards, Partial Controller Support, Remote Play Together, Family Sharing",멀티/협동 요소 포함,11,3,3,5,3,27.3,27.3,27.3
2192900,Knock'Em Out,"Action, Casual, Indie",5-10,"Multiplayer, Physics, Funny, Online Co-Op, PvP, Party Game, Casual, Gore, Action, Fighting","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Remote Play Together, Family Sharing",멀티/협동 요소 포함,6,4,2,0,2,66.7,33.3,33.3
2205420,PAIN: Below Sanity (Classic),"Casual, Indie",0-5,"Casual, Arcade, Precision Platformer, 2D, Abstract, Cartoon, Cartoony, Cinematic, Colorful, Minimalist",,Single-player 중심,1,1,0,0,0,100.0,0.0,0.0
2206820,Tokyo Pinball,"Action, Casual, Indie, Simulation",0-5,"Action, Top-Down, Pixel Graphics, Retro, Arcade, Score Attack, 2D, Indie, Casual, Simulation","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,4,3,0,1,0,75.0,0.0,0.0
2216250,Beta MAX,"Action, Adventure, Indie",5-10,"Puzzle, Puzzle-Platformer, First-Person, Time Manipulation, 3D Platformer, Platformer, Physics, Exploration, Action, Colorful","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,3,3,0,0,0,100.0,0.0,0.0
2217560,Sudden Market,"Action, Indie, Simulation",0-5,"Action, Fast-Paced, Difficult, Stealth, Score Attack, 3D Platformer, Singleplayer, Artificial Intelligence, Time Attack, Precision Platformer","Single-player, Steam Achievements, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Partial Controller Support, Steam Cloud, Stats, Family Sharing",Single-player 중심,2,2,0,0,0,100.0,0.0,0.0
2224030,Flutter Away,"Action, Adventure, Casual, Indie, Simulation, Sports",5-10,"Exploration, Hidden Object, Creature Collector, Photo Editing, Walking Simulator, Female Protagonist, First-Person, Cute, Relaxing, Casual","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,18,9,3,6,2,50.0,16.7,11.1
2231730,Stay Still,"Action, Adventure, Indie",0-5,"Immersive Sim, Puzzle, PvE, 3D, First-Person, Horror, Psychological Horror, Action, Surreal, Linear","Single-player, Family Sharing",Single-player 중심,13,2,5,6,7,15.4,38.5,53.8
2231900,Fateweaver: The Alchemist's Quandary,"Adventure, Casual, Indie, RPG, Simulation",0-5,"Choices Matter, Simulation, Visual Novel, Horror, Multiple Endings, Choose Your Own Adventure, Detective, Investigation, Mystery, Story Rich","Single-player, Full controller support, Family Sharing",Single-player 중심,32,28,0,4,1,87.5,0.0,3.1
2232600,Anomaly Exit,"Adventure, Casual, Indie",0-5,"Online Co-Op, Hidden Object, Puzzle, Psychological Horror, Horror, Casual, Walking Simulator, Multiplayer, Singleplayer, Co-op","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Family Sharing",멀티/협동 요소 포함,27,21,2,4,2,77.8,7.4,7.4
2236680,Llamasoft: The Jeff Minter Story,"Action, Indie",20-40,"Action, Arcade, Singleplayer, Controller, Platformer, Shooter, Psychedelic, Precision Platformer, Shoot 'Em Up, Pixel Graphics","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",멀티/협동 요소 포함,32,27,3,2,2,84.4,9.4,6.2
2250470,Screams from the Past,"Adventure, Indie, Strategy",0-5,"Adventure, Exploration, Investigation, Puzzle, Psychological Horror, Retro, Horror, Crime, Detective, Psychological","Single-player, Family Sharing",Single-player 중심,4,3,1,0,1,75.0,25.0,25.0
2258320,Dreaming Isles,"Action, Adventure, Indie, RPG, Simulation",10-20,"Farming Sim, Naval Combat, Exploration, Romance, Life Sim, Dungeon Crawler, Fishing, Farming, Naval, Pirates","Single-player, Steam Achievements, Full controller support, Family Sharing",Single-player 중심,42,17,17,8,11,40.5,40.5,26.2
2275150,SLUDGE LIFE 2,"Adventure, Indie",10-20,"Adventure, Exploration, Action-Adventure, Colorful, First-Person, Stylized, Atmospheric, Comedy, Funny, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",Single-player 중심,100,81,7,10,2,81.0,7.0,2.0
2277320,Necrosmith 2,"Adventure, Indie, Simulation, Strategy",5-10,"Tower Defense, Strategy, Rogue-lite, Bullet Hell, Real-Time, Management, Simulation, Action, Top-Down, Exploration","Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Steam Cloud, Family Sharing",Single-player 중심,100,53,29,18,21,53.0,29.0,21.0
2295410,Ragnarok Survivors: Valhalla,"Action, Casual, Indie",5-10,"Rogue-lite, Survival, Bullet Hell, Gun Customization, Character Customization, Pixel Graphics, 2D, Action, Minimalist, Arcade","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,1,0,1,0,1,0.0,100.0,100.0
2304190,Deep Death Dungeon Darkness,"Action, Indie",10-20,"Action, Souls-like, Third Person, Dark Fantasy, Indie, Violent, Perma Death, Singleplayer, Rogue-lite, 3D","Single-player, Full controller support, Family Sharing",Single-player 중심,2,2,0,0,0,100.0,0.0,0.0
2308000,Centipede Gun,"Action, Casual, Indie, Strategy",0-5,"Rogue-lite, Bullet Hell, Action Roguelike, Action RPG, Arcade, Arena Shooter, Tactical, Auto Battler, Action, Replay Value","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",Single-player 중심,15,11,2,2,1,73.3,13.3,6.7
2316750,Finger Football: Goal in One,"Casual, Indie, Sports",0-5,"Casual, Sports, Football (Soccer), Puzzle, Relaxing, Minimalist, 2D, Tabletop, Strategy, Abstract","Single-player, Steam Achievements, Family Sharing",Single-player 중심,2,2,0,0,0,100.0,0.0,0.0
2325170,HAG,"Action, Adventure, Casual, Indie",0-5,"Psychological Horror, Horror, Mystery, Puzzle, Exploration, Psychological, Demons, 3D, First-Person, Thriller","Single-player, Family Sharing",Single-player 중심,4,2,0,2,0,50.0,0.0,0.0
2333720,Draft Day Sports: College Basketball 2023,"Indie, Simulation, Sports, Strategy",20-40,"Sports, Simulation, Strategy, Basketball, 2D, Singleplayer, Indie","Single-player, Family Sharing",Single-player 중심,4,0,2,2,2,0.0,50.0,50.0
